Use Case Name,MITRE Technique IDs,Detection Logic,Description,Log Source,Status,Feature Exercised
Windows Event Log Cleared,T1685.005,"index=wineventlog EventCode=1102 | stats count by host, user",Alerts when the Security event log is cleared on a Windows host.,Windows Security Events,Enabled,customer-tagged valid ID -> covered
LSASS Memory Access via Comsvcs,T1003.001,"index=edr process_name=rundll32.exe cmdline=""*comsvcs.dll MiniDump*""",Detects LSASS memory dumping through the comsvcs.dll MiniDump export.,EDR Telemetry,Enabled,description AND logic populated -> Phase 7 logic persistence + Phase 12 telemetry match
Registry Run Key Persistence - With Logic,T1547.001,"index=sysmon EventCode=13 TargetObject=""*\\CurrentVersion\\Run*""",Registry run-key writes captured by Sysmon.,Sysmon,Enabled,logic present -> stronger detection strength (Phase 12 pair A)
Registry Run Key Persistence - Baseline,T1547.001,,Placeholder rule imported from a legacy SIEM without query text.,Sysmon,Enabled,"same technique, logic absent -> weaker detection strength (Phase 12 pair B)"
Suspicious Script Interpreter Spawn,T1059,"index=edr event=process_start interpreter IN (sh, bash, python)",Broad interpreter-spawn detection at the parent-technique level.,EDR Telemetry,Enabled,parent technique row -> sub-technique rollup (with row 7)
PowerShell Suspicious Flags,T1059.001,"index=edr process=powershell.exe cmdline IN (""*-nop*"", ""*bypass*"")",PowerShell launched with suspicious flags.,EDR Telemetry,Enabled,sub-technique of row 6 -> rollup
PLC Brute Force I/O Writes,T0806,ot_historian: forced_write_count > threshold by plc_id,Repeated forced I/O writes against PLC points.,OT Telemetry,Enabled,ICS technique -> ICS domain coverage when environment has OT assets
Historian Data Destruction,T0809,ot_historian: bulk delete of process tags,Bulk deletion of historian process data.,OT Telemetry,Enabled,second ICS technique
Mobile Clipboard Scraping App,T1414,mdm: app with clipboard-read entitlement anomaly,MDM flags apps abusing clipboard read on managed devices.,Intune MDM,Enabled,Mobile technique -> Mobile domain coverage when fleet is managed
Mobile App Downloads Code at Runtime,T1407,mdm: app fetches executable payload post-install,Managed-device app pulling new code after install.,Intune MDM,Enabled,second Mobile technique
Kerberos RC4 Service Ticket Anomaly,T1558.003,index=wineventlog EventCode=4769 encryption_type=0x17 | rare service_name,RC4 TGS requests indicating possible Kerberoasting.,Windows Security Events,Enabled,enabled here; DISABLED in v2 -> shows REGRESSED in trend compare
Spearphishing Attachment Detonated,T1566.001,email_gw: attachment sandbox verdict = malicious,Sandbox-detonated malicious attachment from inbound mail.,Email Security Gateway,Enabled,customer-tagged valid ID -> covered
